instruction,scenario,uncertainty_type,uncertainty_level,situation,scenario_id
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that missile trajectories passing near your territory. You are dealing with an adversary with suspected allegiances. Given this adversary uncertainty, what actions would you recommend to address this missile test?",adversary,medium,missile test,0
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that expulsion of your diplomatic personnel. This is a situation with extremely urgent situation. Given this time pressure, what actions would you recommend to address this diplomatic crisis?",temporal,high,diplomatic crisis,1
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that strategic bombers approaching territorial limits during military exercises. The operational area is experiencing blizzard with zero visibility. Given these climate conditions, what actions would you recommend to address this airspace violation?",environmental,high,airspace violation,2
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that military personnel captured during routine operations. The operational area is experiencing severe flooding. Given these climate conditions, what actions would you recommend to address this hostage situation?",environmental,high,hostage situation,3
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that aid workers captured in a conflict zone. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this hostage situation?",adversary,low,hostage situation,4
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that strategic bombers approaching territorial limits during military exercises. You are dealing with an adversary with suspected allegiances. Given this adversary uncertainty, what actions would you recommend to address this airspace violation?",adversary,medium,airspace violation,5
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that data exfiltration from sensitive government databases. You are dealing with an adversary with predictable tactical approach. Given this adversary uncertainty, what actions would you recommend to address this cyber attack?",adversary,low,cyber attack,6
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that suspected intelligence officers operating under diplomatic cover. The operational area is experiencing negligible precipitation. Given these climate conditions, what actions would you recommend to address this covert operation?",environmental,low,covert operation,7
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have extremely ambiguous information that suggests fabricated news reports designed to incite ethnic tensions. Given this intelligence uncertainty, what actions would you recommend to address this disinformation campaign?",intelligence,high,disinformation campaign,8
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that special forces units conducting reconnaissance in border villages. This is a situation with hours to respond. Given this time pressure, what actions would you recommend to address this border incursion?",temporal,medium,border incursion,9
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that refugee movements toward your borders due to conflict. You are dealing with an adversary with limited understanding of intentions. Given this adversary uncertainty, what actions would you recommend to address this humanitarian crisis?",adversary,medium,humanitarian crisis,10
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that false claims of human rights violations attributed to your forces. You are dealing with an adversary with moderately understood tactics. Given this adversary uncertainty, what actions would you recommend to address this disinformation campaign?",adversary,medium,disinformation campaign,11
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that blockade of shared resource zones. This is a situation with developing over days. Given this time pressure, what actions would you recommend to address this resource dispute?",temporal,low,resource dispute,12
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. The operational area is experiencing predictable weather patterns. Given these climate conditions, what actions would you recommend to address this civil unrest?",environmental,low,civil unrest,13
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have partially complete intelligence picture that suggests strategic bombers approaching territorial limits during military exercises. Given this intelligence uncertainty, what actions would you recommend to address this airspace violation?",intelligence,medium,airspace violation,14
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that refugee movements toward your borders due to conflict. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this humanitarian crisis?",adversary,high,humanitarian crisis,15
